property	path_id	corr_val
property_200_1	00565	0.215302449132466
property_200_1	00592	0.211959068070733
property_200_1	00627	0.186675919586567
property_200_1	01040	0.180319988356756
property_200_1	00633	0.174606042605353
property_200_1	00361	0.174156522482312
property_200_1	02060	0.17180856807161
property_200_1	01053	0.171263335638389
property_200_1	00930	0.166674294238035
property_200_1	00623	0.165006740692524
property_200_1	00364	0.164533987038256
property_200_1	00903	0.161004015478564
property_200_1	02040	0.14191178232556
property_200_1	00071	0.141464095529591
property_200_1	00643	0.139767554375597
property_200_1	02030	0.136986429729249
property_200_1	02026	0.131241503474433
property_200_1	01054	0.130765285484757
property_200_1	00622	0.113799370927299
property_200_1	00626	0.105230098270819
property_200_1	01220	0.101863657340903
property_200_1	00590	0.0994715840562983
property_200_1	00380	0.0990755858367487
property_200_1	00625	0.0952420494390816
property_200_1	00591	0.0949156122153193
property_200_1	00540	0.085917821279502
property_200_1	00130	0.0786047297228436
property_200_1	00480	0.0657182482859931
property_200_1	00740	0.0630197600325395
property_200_1	00311	0.0598901294400225
property_200_1	00460	0.0526499506745229
property_200_1	00401	0.0521543043776914
property_200_2	00592	0.222554028251188
property_200_2	01040	0.195852893116358
property_200_2	00623	0.185394013897472
property_200_2	00364	0.18483047188122
property_200_2	00930	0.18088064169209
property_200_2	00361	0.178920879191682
property_200_2	00540	0.175432226712781
property_200_2	00903	0.174197162419899
property_200_2	02040	0.172867902693415
property_200_2	02030	0.17243951212657
property_200_2	00410	0.169853823975915
property_200_2	00565	0.156510292325411
property_200_2	00362	0.150594646651876
property_200_2	00633	0.144764446803692
property_200_2	00643	0.143003140757934
property_200_2	00785	0.141706963922081
property_200_2	00053	0.133357229708481
property_200_2	00380	0.130223036386789
property_200_2	00310	0.126309917671952
property_200_2	01503	0.123925086678192
property_200_2	01501	0.119881449053674
property_200_2	02025	0.118478843308522
property_200_2	03450	0.11839554040206
property_200_2	00627	0.117536073158824
property_200_2	00622	0.10444209669059
property_200_2	00071	0.103563164613229
property_200_2	00405	0.101788712058358
property_200_2	00401	0.1013972405767
property_200_2	02026	0.0962985884227627
property_200_2	00590	0.083359589610409
property_200_2	00591	0.0826391914826623
property_200_2	00130	0.075493164380647
property_200_2	01220	0.0741753523607095
property_200_2	00860	0.0741594648094911
property_200_2	00562	0.0726181767770471
property_200_2	01053	0.0709951875124507
property_200_2	00625	0.0681982537016602
property_200_2	00626	0.0654874789925833
property_200_2	00332	0.058710416095088
property_200_2	00999	0.0578337600464342
property_200_2	01054	0.0574705972095587
property_200_2	00350	0.0569251723863897
property_200_2	04122	0.0548109014485814
property_200_3	00361	0.223486385941861
property_200_3	00623	0.216043627819268
property_200_3	00364	0.215027742944706
property_200_3	01040	0.19714114950921
property_200_3	02040	0.193621294398132
property_200_3	00930	0.191633393559257
property_200_3	01054	0.190113815000483
property_200_3	00633	0.18459376942761
property_200_3	00592	0.180260443957731
property_200_3	00626	0.176958524126231
property_200_3	00625	0.176491741052108
property_200_3	00627	0.174852729218337
property_200_3	02030	0.172947192286666
property_200_3	00643	0.171598844600449
property_200_3	00903	0.167734893270968
property_200_3	03450	0.154966933482876
property_200_3	02060	0.140177449853617
property_200_3	01220	0.138133356209349
property_200_3	00622	0.133035161996876
property_200_3	00362	0.132754684995873
property_200_3	01053	0.121906756433654
property_200_3	02025	0.121699059215002
property_200_3	00071	0.120101351192543
property_200_3	00053	0.119817666616449
property_200_3	00311	0.11752442935681
property_200_3	00621	0.109569672077867
property_200_3	00380	0.106254354293973
property_200_3	00999	0.10282587514246
property_200_3	00624	0.102676706869735
property_200_3	00591	0.101703243717416
property_200_3	00540	0.0990749248669527
property_200_3	00791	0.0989716219237483
property_200_3	00565	0.0925598844082944
property_200_3	00440	0.0862076535392687
property_200_3	00401	0.0774074126450586
property_200_3	00521	0.0754275301589026
property_200_3	00130	0.074470172744039
property_200_3	01055	0.0616334096176994
property_200_3	00590	0.0614196060272664
property_200_3	00984	0.0599954085787727
property_200_4	00515	0.167742197975221
property_200_5	02060	0.213768086482182
property_200_5	00624	0.138128001878531
property_200_5	00515	0.137943088987172
property_200_5	00643	0.136775043732346
property_200_5	00625	0.133426285811009
property_200_5	00626	0.1171998112423
property_200_5	00071	0.114255018083119
property_200_5	01055	0.105049535868429
property_200_5	00627	0.0923704487388321
property_200_5	00906	0.08424872181691
property_200_5	01220	0.0740054372400131
property_200_5	00998	0.0727641657976797
property_200_5	00405	0.066190706591798
property_200_5	05150	0.0645870812553965
property_200_5	05100	0.0640138472152664
property_200_6	00903	0.356827846522725
property_200_6	01040	0.341262029504767
property_200_6	00930	0.341178493962294
property_200_6	00592	0.33609513060771
property_200_6	00410	0.333402380760795
property_200_6	02030	0.320823337759641
property_200_6	00380	0.314089382583774
property_200_6	00623	0.311589900124551
property_200_6	00364	0.31031032308184
property_200_6	00053	0.30980689975616
property_200_6	02040	0.303614694129667
property_200_6	00361	0.302386088266207
property_200_6	00633	0.287250699321384
property_200_6	00785	0.266218711958342
property_200_6	00565	0.246457223040432
property_200_6	00362	0.24365716895786
property_200_6	01503	0.225314937180825
property_200_6	00562	0.221112180096565
property_200_6	01053	0.219062907302196
property_200_6	00310	0.215176070624947
property_200_6	00627	0.213592853609411
property_200_6	00540	0.205760104421566
property_200_6	00071	0.197700096951253
property_200_6	00440	0.196004714628662
property_200_6	01501	0.195674213141843
property_200_6	00332	0.175740508568455
property_200_6	00643	0.174251837851121
property_200_6	04122	0.171461986035628
property_200_6	00622	0.163603445079953
property_200_6	00130	0.162014405137988
property_200_6	03450	0.158764016531611
property_200_6	00660	0.151540569123632
property_200_6	00401	0.132670522953186
property_200_6	00860	0.129944827282833
property_200_6	00590	0.127363332551193
property_200_6	00405	0.122134778434912
property_200_6	00350	0.117963394875929
property_200_6	02025	0.096714239051797
property_200_6	00625	0.0955420090620449
property_200_6	01054	0.0925805959318926
property_200_6	00626	0.0901056768117443
property_200_6	00998	0.0881880479911969
property_200_6	00999	0.0853053816126181
property_200_6	00591	0.0806739831499903
property_200_6	00791	0.0788995686765777
property_200_6	05100	0.077434027188386
property_200_6	05150	0.0769553271151862
property_200_6	02026	0.074334287419289
property_200_6	00906	0.0725177678544184
property_200_6	01220	0.0667845483578859
property_200_6	02060	0.0604923026350661
property_200_6	00340	0.0592961243715344
property_200_6	00910	0.0584572046532263
property_200_6	00400	0.0577875677941872
property_200_6	00311	0.0575655131400365
property_200_6	00521	0.0567929576699123
property_200_7	00121	0.206918392755718
property_200_7	00524	0.144434669747202
property_200_7	00600	0.118304550389334
property_200_7	00601	0.0988750695386733
property_200_7	00511	0.0654733718271667
property_200_7	01503	0.0576738663669381
property_200_8	00525	0.10640958941201
property_200_8	00523	0.104371792587778
property_200_8	00540	0.0932983831689095
property_200_8	01220	0.0766320263030698
property_200_8	00860	0.071511481084973
property_200_8	02040	0.0686505456469674
property_200_8	00020	0.0666662184759831
property_200_8	00590	0.0634915838457576
property_200_8	01054	0.0618988004548185
property_200_8	00401	0.061180972247007
property_200_8	00311	0.0598916643438232
property_200_8	00626	0.0586919777352563
property_200_8	00340	0.0580991510604891
property_200_8	01053	0.057665960707187
property_200_8	00920	0.0544802382533279
property_200_8	00565	0.0542642369646122
property_200_8	03450	0.0512815108550937
property_200_8	00362	0.0498991778864479
property_200_9	00524	0.100603071574623
property_200_9	00860	0.0981753032353134
property_200_9	00785	0.0930117103931288
property_200_9	00130	0.0873670570287672
property_200_9	00601	0.0738759792931588
property_200_9	00540	0.0716875312277112
property_200_9	00310	0.0542111987655311
property_200_9	00400	0.050819797385455
property_200_9	00910	0.0486708025238542
property_200_10	00515	0.303685084778431
property_200_10	00906	0.155492949904897
property_200_10	03050	0.109932902382903
property_200_10	02060	0.0980763759375247
property_200_10	00998	0.080416814651485
property_200_10	00130	0.0799014991218913
property_200_10	00071	0.0797843153419843
property_200_10	00380	0.0693901008983978
property_200_10	00785	0.0580471745460114
property_200_10	01059	0.0562378415643495
property_200_10	00405	0.0547430922119358
property_200_10	03450	0.0503226476456861
property_200_10	00860	0.0482578684192675
property_200_10	00984	0.0473416489276823
property_200_10	00460	0.0457292735579476
property_200_10	05100	0.0454452218125105
property_200_10	05150	0.0450926925290659
property_200_11	01503	0.100932131044549
property_200_11	00362	0.0979960948547465
property_200_11	00860	0.0889008378689071
property_200_11	00511	0.0859275234135907
property_200_11	00410	0.0749385186837546
property_200_11	00791	0.0657805384988979
property_200_12	00903	0.238164577018408
property_200_12	01053	0.236091367323361
property_200_12	02060	0.198084562237588
property_200_12	00930	0.192340775717391
property_200_12	00592	0.188454516450276
property_200_12	00071	0.180163023306955
property_200_12	01040	0.177865134767855
property_200_12	00515	0.174387844979653
property_200_12	00361	0.169076089098241
property_200_12	00364	0.160251264872416
property_200_12	00623	0.160106671522354
property_200_12	00380	0.15623078632311
property_200_12	00633	0.152870616875208
property_200_12	00627	0.151382943605576
property_200_12	00643	0.15042762067686
property_200_12	00130	0.143562773013086
property_200_12	03450	0.138678175026208
property_200_12	02025	0.134226527868796
property_200_12	00785	0.132640850021628
property_200_12	02030	0.129344189436447
property_200_12	00405	0.116445760670892
property_200_12	00984	0.110991740566806
property_200_12	02040	0.110364799709378
property_200_12	00906	0.109583479217724
property_200_12	00860	0.107331566209045
property_200_12	01054	0.09868327002043
property_200_12	04122	0.0970179683582776
property_200_12	00565	0.0954359356739444
property_200_12	00626	0.0905149112771334
property_200_12	00999	0.0891092601865551
property_200_12	00590	0.0777122057393932
property_200_12	03050	0.075925304249334
property_200_12	00625	0.0746619457700735
property_200_12	00311	0.0710198813117217
property_200_12	00460	0.0684338786547982
property_200_12	01220	0.0648464182576716
property_200_12	00310	0.0503058295588008
property_200_12	00998	0.0499182420416707
property_200_12	00480	0.0478267504017511
property_200_13	00910	0.126584184591977
property_200_13	00860	0.12649072358386
property_200_13	00515	0.121573918025209
property_200_13	00400	0.113678806069536
property_200_13	00906	0.0939797629230607
property_200_13	00130	0.0787160405475819
property_200_13	05100	0.0754324110348546
property_200_13	05150	0.0750183844547868
property_200_13	00998	0.0695994829597825
property_200_13	00480	0.0614235598199485
property_200_14	00625	0.158969974936927
property_200_14	00121	0.155963938143635
property_200_14	00626	0.144879150604105
property_200_14	01220	0.134498017320658
property_200_14	00362	0.111529679467388
property_200_14	00791	0.0951322745491316
property_200_14	00643	0.0919028506743704
property_200_14	02060	0.0862693548700296
property_200_14	02040	0.0859242354722668
property_200_14	00622	0.0858475930136833
property_200_14	00624	0.077455858611664
property_200_14	00999	0.0738478886451837
property_200_14	02025	0.0726943588082068
property_200_14	00361	0.0712148322914866
property_200_14	02030	0.0687915343824088
property_200_14	00440	0.0669042553852626
property_200_14	01055	0.065472084007394
property_200_14	00020	0.0647948691551908
property_200_14	00071	0.0636295448621764
property_200_14	00627	0.0621724609826058
property_200_14	00623	0.0588332357871492
property_200_14	00591	0.0584766199125292
property_200_14	00364	0.0584576132900788
property_200_15	00600	0.248693183771217
property_200_15	00524	0.0988737900245707
property_200_15	00601	0.0949244312510001
property_200_15	00511	0.0886237356525014
property_200_16	00600	0.297954359940984
property_200_16	00121	0.25427473635414
property_200_16	00511	0.204149355368858
property_200_16	00524	0.142069657251555
property_200_16	02026	0.136455115537175
property_200_16	00601	0.10358413352427
property_200_16	00332	0.0933642777358274
property_200_16	00362	0.0930282452918561
property_200_16	00401	0.092050920811032
property_200_16	00440	0.0866497560084835
property_200_16	00340	0.0853466604453689
property_200_16	00100	0.0814397927255341
property_200_16	00525	0.0809179086173545
property_200_16	00909	0.0791094175722652
property_200_16	00660	0.0790793348755115
property_200_16	00521	0.0781978236404175
property_200_16	00020	0.0759163843684621
property_200_16	00523	0.0751086375313759
property_200_17	00600	0.132566245181456
property_200_17	00511	0.0607153913064698
property_200_18	03450	0.152013409628884
property_200_18	00380	0.129166219200508
property_200_18	00311	0.120775495587387
property_200_18	00643	0.117922126490182
property_200_18	01054	0.111320961865866
property_200_18	00121	0.104795859403265
property_200_18	00440	0.0974834143543712
