EPOCH,MODE,AVG LOSS,TOTAL CORRECT,TOTAL ELEMENTS,ACCURACY,MASK CORRECT,TOTAL MASK,MASK ACCURACY
1,train,0.010284393274368751,3048997,3422029.0,89.09909880950747,132626,503798,26.325233526135477
1,test,0.3000194293310785,764125,859295.0,88.9246417121012,31364,126534,24.78701376705075
2,train,0.00988996326877829,3050464,3422029.0,89.14196811306977,133237,504146,26.42825689383631
2,test,0.28815089158482565,764910,859295.0,89.01599567086973,32957,125919,26.173174818732676
3,train,0.009306581307448502,3065213,3422029.0,89.57296972059558,151362,503250,30.0769001490313
3,test,0.2581190109741608,778605,859295.0,90.60974403435374,49088,126296,38.86742256286818
4,train,0.007628574304073175,3141175,3422029.0,91.79276388364914,234114,502988,46.544649176521105
4,test,0.2056425105946063,805074,859295.0,93.6900598746647,75211,126505,59.45298604798229
5,train,0.006444596887900879,3196687,3422029.0,93.41495937059562,285937,503177,56.826325527597646
5,test,0.18468765045164023,813664,859295.0,94.68971656997887,82461,126303,65.28823543383767
6,train,0.005976439271951071,3218086,3422029.0,94.04029013196556,305144,504139,60.527751274946
6,test,0.17444360085942906,816566,859295.0,95.02743528124799,84750,126452,67.02147850567805
7,train,0.005705855484177474,3230283,3422029.0,94.39671610030189,315368,503477,62.638015242007086
7,test,0.1716428050016715,818200,859295.0,95.21759116485026,85859,126262,68.00066528329981
8,train,0.005559082473184194,3236390,3422029.0,94.57517747511784,320908,503364,63.75267202263173
8,test,0.16726645917927635,819896,859295.0,95.41496226557817,87623,126235,69.41260347764091
9,train,0.005458123223459881,3241066,3422029.0,94.71182155382085,325479,503528,64.63970226084747
9,test,0.16654516879386988,819352,859295.0,95.35165455402394,87965,126840,69.35115105644907
10,train,0.005364475230296987,3244625,3422029.0,94.81582417916388,327793,502211,65.26997616539661
10,test,0.16626440947294407,820066,859295.0,95.43474592543888,87972,126546,69.51780380256982
11,train,0.005287592569229473,3247992,3422029.0,94.91421609811022,332848,503864,66.05909531143325
11,test,0.163605567011016,820394,859295.0,95.47291675152306,88220,126330,69.83297712340695
12,train,0.005245702060435905,3249448,3422029.0,94.95676395495187,334322,503859,66.35229300260589
12,test,0.16155551528187018,820748,859295.0,95.51411331382121,87978,126030,69.80718876457986
13,train,0.005192916405963322,3251404,3422029.0,95.01392302636827,335986,503602,66.71657380232803
13,test,0.1609747373846821,820718,859295.0,95.51062207972815,88199,126116,69.93482190998763
14,train,0.005159300995403149,3253059,3422029.0,95.06228614661067,337828,503596,67.08313807099341
14,test,0.16193967381449126,820776,859295.0,95.51737179897474,89315,126942,70.35890406642403
15,train,0.005123836954390689,3253915,3422029.0,95.08730054596263,339024,503937,67.27507605117307
15,test,0.16001169677626217,821026,859295.0,95.54646541641695,88477,125880,70.28678106132826
